"","Junction","Vehicles","day","month","year","hour","weekday_num","workday","weekend","hour_inc"
"157",1,14,"07","11","2015","12","6",0,1,157
"158",1,14,"07","11","2015","13","6",0,1,158
"159",1,14,"07","11","2015","14","6",0,1,159
"160",1,11,"07","11","2015","15","6",0,1,160
"161",1,15,"07","11","2015","16","6",0,1,161
"162",1,13,"07","11","2015","17","6",0,1,162
"163",1,12,"07","11","2015","18","6",0,1,163
"164",1,17,"07","11","2015","19","6",0,1,164
"165",1,18,"07","11","2015","20","6",0,1,165
"166",1,17,"07","11","2015","21","6",0,1,166
"167",1,16,"07","11","2015","22","6",0,1,167
"168",1,15,"07","11","2015","23","6",0,1,168
"169",1,13,"08","11","2015","00","7",0,1,169
"170",1,16,"08","11","2015","01","7",0,1,170
"171",1,11,"08","11","2015","02","7",0,1,171
"172",1,8,"08","11","2015","03","7",0,1,172
"173",1,10,"08","11","2015","04","7",0,1,173
"174",1,10,"08","11","2015","05","7",0,1,174
"175",1,10,"08","11","2015","06","7",0,1,175
"176",1,9,"08","11","2015","07","7",0,1,176
"177",1,11,"08","11","2015","08","7",0,1,177
"178",1,12,"08","11","2015","09","7",0,1,178
"179",1,18,"08","11","2015","10","7",0,1,179
"180",1,14,"08","11","2015","11","7",0,1,180
"181",1,17,"08","11","2015","12","7",0,1,181
"182",1,14,"08","11","2015","13","7",0,1,182
"183",1,14,"08","11","2015","14","7",0,1,183
"184",1,14,"08","11","2015","15","7",0,1,184
"185",1,12,"08","11","2015","16","7",0,1,185
"186",1,14,"08","11","2015","17","7",0,1,186
"187",1,18,"08","11","2015","18","7",0,1,187
"188",1,13,"08","11","2015","19","7",0,1,188
"189",1,16,"08","11","2015","20","7",0,1,189
"190",1,18,"08","11","2015","21","7",0,1,190
"191",1,14,"08","11","2015","22","7",0,1,191
"192",1,14,"08","11","2015","23","7",0,1,192
"193",1,13,"09","11","2015","00","1",1,0,193
"194",1,15,"09","11","2015","01","1",1,0,194
"195",1,11,"09","11","2015","02","1",1,0,195
"196",1,10,"09","11","2015","03","1",1,0,196
"197",1,9,"09","11","2015","04","1",1,0,197
"198",1,8,"09","11","2015","05","1",1,0,198
"199",1,8,"09","11","2015","06","1",1,0,199
"200",1,10,"09","11","2015","07","1",1,0,200
"201",1,11,"09","11","2015","08","1",1,0,201
"202",1,17,"09","11","2015","09","1",1,0,202
"203",1,19,"09","11","2015","10","1",1,0,203
"204",1,22,"09","11","2015","11","1",1,0,204
"205",1,23,"09","11","2015","12","1",1,0,205
"206",1,23,"09","11","2015","13","1",1,0,206
"207",1,24,"09","11","2015","14","1",1,0,207
"208",1,24,"09","11","2015","15","1",1,0,208
"209",1,19,"09","11","2015","16","1",1,0,209
"210",1,19,"09","11","2015","17","1",1,0,210
"211",1,20,"09","11","2015","18","1",1,0,211
"212",1,31,"09","11","2015","19","1",1,0,212
"213",1,25,"09","11","2015","20","1",1,0,213
"214",1,35,"09","11","2015","21","1",1,0,214
"215",1,21,"09","11","2015","22","1",1,0,215
"216",1,24,"09","11","2015","23","1",1,0,216
"217",1,19,"10","11","2015","00","2",1,0,217
"218",1,19,"10","11","2015","01","2",1,0,218
"219",1,18,"10","11","2015","02","2",1,0,219
"220",1,17,"10","11","2015","03","2",1,0,220
"221",1,12,"10","11","2015","04","2",1,0,221
"222",1,10,"10","11","2015","05","2",1,0,222
"223",1,14,"10","11","2015","06","2",1,0,223
"224",1,15,"10","11","2015","07","2",1,0,224
"225",1,14,"10","11","2015","08","2",1,0,225
"226",1,34,"10","11","2015","09","2",1,0,226
"227",1,40,"10","11","2015","10","2",1,0,227
"228",1,38,"10","11","2015","11","2",1,0,228
"229",1,36,"10","11","2015","12","2",1,0,229
"230",1,27,"10","11","2015","13","2",1,0,230
"231",1,48,"10","11","2015","14","2",1,0,231
"232",1,43,"10","11","2015","15","2",1,0,232
"233",1,41,"10","11","2015","16","2",1,0,233
"234",1,35,"10","11","2015","17","2",1,0,234
"235",1,40,"10","11","2015","18","2",1,0,235
"236",1,40,"10","11","2015","19","2",1,0,236
"237",1,40,"10","11","2015","20","2",1,0,237
"238",1,36,"10","11","2015","21","2",1,0,238
"239",1,37,"10","11","2015","22","2",1,0,239
"240",1,35,"10","11","2015","23","2",1,0,240
"241",1,28,"11","11","2015","00","3",1,0,241
"242",1,25,"11","11","2015","01","3",1,0,242
"243",1,19,"11","11","2015","02","3",1,0,243
"244",1,21,"11","11","2015","03","3",1,0,244
"245",1,20,"11","11","2015","04","3",1,0,245
"246",1,15,"11","11","2015","05","3",1,0,246
"247",1,17,"11","11","2015","06","3",1,0,247
"248",1,14,"11","11","2015","07","3",1,0,248
"249",1,19,"11","11","2015","08","3",1,0,249
"250",1,22,"11","11","2015","09","3",1,0,250
"251",1,30,"11","11","2015","10","3",1,0,251
"252",1,26,"11","11","2015","11","3",1,0,252
"253",1,26,"11","11","2015","12","3",1,0,253
"254",1,23,"11","11","2015","13","3",1,0,254
"255",1,23,"11","11","2015","14","3",1,0,255
"256",1,24,"11","11","2015","15","3",1,0,256
"257",1,22,"11","11","2015","16","3",1,0,257
"258",1,24,"11","11","2015","17","3",1,0,258
"259",1,26,"11","11","2015","18","3",1,0,259
"260",1,27,"11","11","2015","19","3",1,0,260
"261",1,22,"11","11","2015","20","3",1,0,261
"262",1,23,"11","11","2015","21","3",1,0,262
"263",1,22,"11","11","2015","22","3",1,0,263
"264",1,22,"11","11","2015","23","3",1,0,264
"265",1,22,"12","11","2015","00","4",1,0,265
"266",1,17,"12","11","2015","01","4",1,0,266
"267",1,15,"12","11","2015","02","4",1,0,267
"268",1,12,"12","11","2015","03","4",1,0,268
"269",1,13,"12","11","2015","04","4",1,0,269
"270",1,9,"12","11","2015","05","4",1,0,270
"271",1,14,"12","11","2015","06","4",1,0,271
"272",1,13,"12","11","2015","07","4",1,0,272
"273",1,15,"12","11","2015","08","4",1,0,273
"274",1,27,"12","11","2015","09","4",1,0,274
"275",1,39,"12","11","2015","10","4",1,0,275
"276",1,40,"12","11","2015","11","4",1,0,276
"277",1,36,"12","11","2015","12","4",1,0,277
"278",1,34,"12","11","2015","13","4",1,0,278
"279",1,33,"12","11","2015","14","4",1,0,279
"280",1,28,"12","11","2015","15","4",1,0,280
"281",1,30,"12","11","2015","16","4",1,0,281
"282",1,26,"12","11","2015","17","4",1,0,282
"283",1,30,"12","11","2015","18","4",1,0,283
"284",1,35,"12","11","2015","19","4",1,0,284
"285",1,38,"12","11","2015","20","4",1,0,285
"286",1,34,"12","11","2015","21","4",1,0,286
"287",1,30,"12","11","2015","22","4",1,0,287
"288",1,27,"12","11","2015","23","4",1,0,288
"289",1,24,"13","11","2015","00","5",1,0,289
"290",1,21,"13","11","2015","01","5",1,0,290
"291",1,16,"13","11","2015","02","5",1,0,291
"292",1,16,"13","11","2015","03","5",1,0,292
"293",1,13,"13","11","2015","04","5",1,0,293
"294",1,11,"13","11","2015","05","5",1,0,294
"295",1,13,"13","11","2015","06","5",1,0,295
"296",1,15,"13","11","2015","07","5",1,0,296
"297",1,17,"13","11","2015","08","5",1,0,297
"298",1,18,"13","11","2015","09","5",1,0,298
"299",1,24,"13","11","2015","10","5",1,0,299
"300",1,41,"13","11","2015","11","5",1,0,300
"301",1,29,"13","11","2015","12","5",1,0,301
"302",1,25,"13","11","2015","13","5",1,0,302
"303",1,25,"13","11","2015","14","5",1,0,303
"304",1,26,"13","11","2015","15","5",1,0,304
"305",1,25,"13","11","2015","16","5",1,0,305
"306",1,24,"13","11","2015","17","5",1,0,306
"307",1,26,"13","11","2015","18","5",1,0,307
"308",1,24,"13","11","2015","19","5",1,0,308
"309",1,28,"13","11","2015","20","5",1,0,309
"310",1,22,"13","11","2015","21","5",1,0,310
"311",1,23,"13","11","2015","22","5",1,0,311
"312",1,18,"13","11","2015","23","5",1,0,312
"313",1,21,"14","11","2015","00","6",0,1,313
"314",1,20,"14","11","2015","01","6",0,1,314
"315",1,15,"14","11","2015","02","6",0,1,315
"316",1,13,"14","11","2015","03","6",0,1,316
"317",1,10,"14","11","2015","04","6",0,1,317
"318",1,10,"14","11","2015","05","6",0,1,318
"319",1,12,"14","11","2015","06","6",0,1,319
"320",1,9,"14","11","2015","07","6",0,1,320
"321",1,11,"14","11","2015","08","6",0,1,321
"322",1,15,"14","11","2015","09","6",0,1,322
"323",1,16,"14","11","2015","10","6",0,1,323
"324",1,16,"14","11","2015","11","6",0,1,324
"325",1,12,"14","11","2015","12","6",0,1,325
"326",1,11,"14","11","2015","13","6",0,1,326
"327",1,14,"14","11","2015","14","6",0,1,327
"328",1,16,"14","11","2015","15","6",0,1,328
"329",1,18,"14","11","2015","16","6",0,1,329
"330",1,13,"14","11","2015","17","6",0,1,330
"331",1,17,"14","11","2015","18","6",0,1,331
"332",1,15,"14","11","2015","19","6",0,1,332
"333",1,19,"14","11","2015","20","6",0,1,333
"334",1,15,"14","11","2015","21","6",0,1,334
"335",1,19,"14","11","2015","22","6",0,1,335
"336",1,15,"14","11","2015","23","6",0,1,336
"337",1,15,"15","11","2015","00","7",0,1,337
"338",1,13,"15","11","2015","01","7",0,1,338
"339",1,14,"15","11","2015","02","7",0,1,339
"340",1,10,"15","11","2015","03","7",0,1,340
"341",1,8,"15","11","2015","04","7",0,1,341
"342",1,9,"15","11","2015","05","7",0,1,342
"343",1,9,"15","11","2015","06","7",0,1,343
"344",1,9,"15","11","2015","07","7",0,1,344
"345",1,9,"15","11","2015","08","7",0,1,345
"346",1,16,"15","11","2015","09","7",0,1,346
"347",1,18,"15","11","2015","10","7",0,1,347
"348",1,18,"15","11","2015","11","7",0,1,348
"349",1,17,"15","11","2015","12","7",0,1,349
"350",1,18,"15","11","2015","13","7",0,1,350
"351",1,14,"15","11","2015","14","7",0,1,351
"352",1,15,"15","11","2015","15","7",0,1,352
"353",1,13,"15","11","2015","16","7",0,1,353
"354",1,15,"15","11","2015","17","7",0,1,354
"355",1,19,"15","11","2015","18","7",0,1,355
"356",1,18,"15","11","2015","19","7",0,1,356
"357",1,21,"15","11","2015","20","7",0,1,357
"358",1,17,"15","11","2015","21","7",0,1,358
"359",1,17,"15","11","2015","22","7",0,1,359
"360",1,15,"15","11","2015","23","7",0,1,360
"361",1,17,"16","11","2015","00","1",1,0,361
"362",1,14,"16","11","2015","01","1",1,0,362
"363",1,13,"16","11","2015","02","1",1,0,363
"364",1,15,"16","11","2015","03","1",1,0,364
"365",1,12,"16","11","2015","04","1",1,0,365
"366",1,12,"16","11","2015","05","1",1,0,366
"367",1,13,"16","11","2015","06","1",1,0,367
"368",1,14,"16","11","2015","07","1",1,0,368
"369",1,13,"16","11","2015","08","1",1,0,369
"370",1,16,"16","11","2015","09","1",1,0,370
"371",1,26,"16","11","2015","10","1",1,0,371
"372",1,21,"16","11","2015","11","1",1,0,372
"373",1,26,"16","11","2015","12","1",1,0,373
"374",1,24,"16","11","2015","13","1",1,0,374
"375",1,26,"16","11","2015","14","1",1,0,375
"376",1,22,"16","11","2015","15","1",1,0,376
"377",1,24,"16","11","2015","16","1",1,0,377
"378",1,26,"16","11","2015","17","1",1,0,378
"379",1,23,"16","11","2015","18","1",1,0,379
"380",1,29,"16","11","2015","19","1",1,0,380
"381",1,31,"16","11","2015","20","1",1,0,381
"382",1,27,"16","11","2015","21","1",1,0,382
"383",1,27,"16","11","2015","22","1",1,0,383
"384",1,26,"16","11","2015","23","1",1,0,384
"385",1,23,"17","11","2015","00","2",1,0,385
"386",1,21,"17","11","2015","01","2",1,0,386
"387",1,19,"17","11","2015","02","2",1,0,387
"388",1,16,"17","11","2015","03","2",1,0,388
"389",1,11,"17","11","2015","04","2",1,0,389
"390",1,11,"17","11","2015","05","2",1,0,390
"391",1,15,"17","11","2015","06","2",1,0,391
"392",1,12,"17","11","2015","07","2",1,0,392
"393",1,12,"17","11","2015","08","2",1,0,393
"394",1,18,"17","11","2015","09","2",1,0,394
"395",1,31,"17","11","2015","10","2",1,0,395
"396",1,42,"17","11","2015","11","2",1,0,396
"397",1,37,"17","11","2015","12","2",1,0,397
"398",1,30,"17","11","2015","13","2",1,0,398
"399",1,33,"17","11","2015","14","2",1,0,399
"400",1,28,"17","11","2015","15","2",1,0,400
"401",1,29,"17","11","2015","16","2",1,0,401
"402",1,28,"17","11","2015","17","2",1,0,402
"403",1,28,"17","11","2015","18","2",1,0,403
"404",1,31,"17","11","2015","19","2",1,0,404
"405",1,28,"17","11","2015","20","2",1,0,405
"406",1,26,"17","11","2015","21","2",1,0,406
"407",1,26,"17","11","2015","22","2",1,0,407
"408",1,27,"17","11","2015","23","2",1,0,408
"409",1,24,"18","11","2015","00","3",1,0,409
"410",1,23,"18","11","2015","01","3",1,0,410
"411",1,20,"18","11","2015","02","3",1,0,411
"412",1,19,"18","11","2015","03","3",1,0,412
"413",1,20,"18","11","2015","04","3",1,0,413
"414",1,16,"18","11","2015","05","3",1,0,414
"415",1,19,"18","11","2015","06","3",1,0,415
"416",1,16,"18","11","2015","07","3",1,0,416
"417",1,17,"18","11","2015","08","3",1,0,417
"418",1,19,"18","11","2015","09","3",1,0,418
"419",1,30,"18","11","2015","10","3",1,0,419
"420",1,44,"18","11","2015","11","3",1,0,420
"421",1,35,"18","11","2015","12","3",1,0,421
"422",1,34,"18","11","2015","13","3",1,0,422
"423",1,31,"18","11","2015","14","3",1,0,423
"424",1,31,"18","11","2015","15","3",1,0,424
"425",1,28,"18","11","2015","16","3",1,0,425
"426",1,34,"18","11","2015","17","3",1,0,426
"427",1,37,"18","11","2015","18","3",1,0,427
"428",1,37,"18","11","2015","19","3",1,0,428
"429",1,34,"18","11","2015","20","3",1,0,429
"430",1,31,"18","11","2015","21","3",1,0,430
"431",1,29,"18","11","2015","22","3",1,0,431
"432",1,28,"18","11","2015","23","3",1,0,432
"433",1,32,"19","11","2015","00","4",1,0,433
"434",1,23,"19","11","2015","01","4",1,0,434
"435",1,20,"19","11","2015","02","4",1,0,435
"436",1,16,"19","11","2015","03","4",1,0,436
"437",1,18,"19","11","2015","04","4",1,0,437
"438",1,17,"19","11","2015","05","4",1,0,438
"439",1,16,"19","11","2015","06","4",1,0,439
"440",1,17,"19","11","2015","07","4",1,0,440
"441",1,18,"19","11","2015","08","4",1,0,441
"442",1,25,"19","11","2015","09","4",1,0,442
"443",1,31,"19","11","2015","10","4",1,0,443
"444",1,32,"19","11","2015","11","4",1,0,444
"445",1,31,"19","11","2015","12","4",1,0,445
"446",1,29,"19","11","2015","13","4",1,0,446
"447",1,31,"19","11","2015","14","4",1,0,447
"448",1,31,"19","11","2015","15","4",1,0,448
"449",1,30,"19","11","2015","16","4",1,0,449
"450",1,28,"19","11","2015","17","4",1,0,450
"451",1,29,"19","11","2015","18","4",1,0,451
"452",1,36,"19","11","2015","19","4",1,0,452
"453",1,29,"19","11","2015","20","4",1,0,453
"454",1,28,"19","11","2015","21","4",1,0,454
"455",1,30,"19","11","2015","22","4",1,0,455
"456",1,29,"19","11","2015","23","4",1,0,456
"457",1,24,"20","11","2015","00","5",1,0,457
"458",1,20,"20","11","2015","01","5",1,0,458
"459",1,15,"20","11","2015","02","5",1,0,459
"460",1,14,"20","11","2015","03","5",1,0,460
"461",1,13,"20","11","2015","04","5",1,0,461
"462",1,8,"20","11","2015","05","5",1,0,462
"463",1,12,"20","11","2015","06","5",1,0,463
"464",1,14,"20","11","2015","07","5",1,0,464
"465",1,15,"20","11","2015","08","5",1,0,465
"466",1,20,"20","11","2015","09","5",1,0,466
"467",1,26,"20","11","2015","10","5",1,0,467
"468",1,26,"20","11","2015","11","5",1,0,468
"469",1,26,"20","11","2015","12","5",1,0,469
"470",1,21,"20","11","2015","13","5",1,0,470
"471",1,26,"20","11","2015","14","5",1,0,471
"472",1,29,"20","11","2015","15","5",1,0,472
"473",1,20,"20","11","2015","16","5",1,0,473
"474",1,22,"20","11","2015","17","5",1,0,474
"475",1,25,"20","11","2015","18","5",1,0,475
"476",1,27,"20","11","2015","19","5",1,0,476
"477",1,26,"20","11","2015","20","5",1,0,477
"478",1,24,"20","11","2015","21","5",1,0,478
"479",1,25,"20","11","2015","22","5",1,0,479
"480",1,21,"20","11","2015","23","5",1,0,480
"481",1,17,"21","11","2015","00","6",0,1,481
"482",1,16,"21","11","2015","01","6",0,1,482
"483",1,15,"21","11","2015","02","6",0,1,483
"484",1,15,"21","11","2015","03","6",0,1,484
"485",1,15,"21","11","2015","04","6",0,1,485
"486",1,8,"21","11","2015","05","6",0,1,486
"487",1,12,"21","11","2015","06","6",0,1,487
"488",1,13,"21","11","2015","07","6",0,1,488
"489",1,12,"21","11","2015","08","6",0,1,489
"490",1,16,"21","11","2015","09","6",0,1,490
"491",1,18,"21","11","2015","10","6",0,1,491
"492",1,17,"21","11","2015","11","6",0,1,492
"493",1,18,"21","11","2015","12","6",0,1,493
"494",1,15,"21","11","2015","13","6",0,1,494
"495",1,21,"21","11","2015","14","6",0,1,495
"496",1,18,"21","11","2015","15","6",0,1,496
"497",1,17,"21","11","2015","16","6",0,1,497
"498",1,17,"21","11","2015","17","6",0,1,498
"499",1,19,"21","11","2015","18","6",0,1,499
"500",1,22,"21","11","2015","19","6",0,1,500
"501",1,18,"21","11","2015","20","6",0,1,501
"502",1,17,"21","11","2015","21","6",0,1,502
"503",1,22,"21","11","2015","22","6",0,1,503
"504",1,17,"21","11","2015","23","6",0,1,504
"505",1,15,"22","11","2015","00","7",0,1,505
"506",1,15,"22","11","2015","01","7",0,1,506
"507",1,11,"22","11","2015","02","7",0,1,507
"508",1,12,"22","11","2015","03","7",0,1,508
"509",1,11,"22","11","2015","04","7",0,1,509
"510",1,8,"22","11","2015","05","7",0,1,510
"511",1,11,"22","11","2015","06","7",0,1,511
"512",1,9,"22","11","2015","07","7",0,1,512
"513",1,8,"22","11","2015","08","7",0,1,513
"514",1,15,"22","11","2015","09","7",0,1,514
"515",1,18,"22","11","2015","10","7",0,1,515
"516",1,18,"22","11","2015","11","7",0,1,516
"517",1,20,"22","11","2015","12","7",0,1,517
"518",1,20,"22","11","2015","13","7",0,1,518
"519",1,20,"22","11","2015","14","7",0,1,519
"520",1,15,"22","11","2015","15","7",0,1,520
"521",1,16,"22","11","2015","16","7",0,1,521
"522",1,16,"22","11","2015","17","7",0,1,522
"523",1,21,"22","11","2015","18","7",0,1,523
"524",1,27,"22","11","2015","19","7",0,1,524
"525",1,26,"22","11","2015","20","7",0,1,525
"526",1,24,"22","11","2015","21","7",0,1,526
"527",1,20,"22","11","2015","22","7",0,1,527
"528",1,20,"22","11","2015","23","7",0,1,528
"529",1,21,"23","11","2015","00","1",1,0,529
"530",1,14,"23","11","2015","01","1",1,0,530
"531",1,16,"23","11","2015","02","1",1,0,531
"532",1,14,"23","11","2015","03","1",1,0,532
"533",1,11,"23","11","2015","04","1",1,0,533
"534",1,11,"23","11","2015","05","1",1,0,534
"535",1,9,"23","11","2015","06","1",1,0,535
"536",1,12,"23","11","2015","07","1",1,0,536
"537",1,16,"23","11","2015","08","1",1,0,537
"538",1,26,"23","11","2015","09","1",1,0,538
"539",1,33,"23","11","2015","10","1",1,0,539
"540",1,35,"23","11","2015","11","1",1,0,540
"541",1,33,"23","11","2015","12","1",1,0,541
"542",1,32,"23","11","2015","13","1",1,0,542
"543",1,28,"23","11","2015","14","1",1,0,543
"544",1,33,"23","11","2015","15","1",1,0,544
"545",1,27,"23","11","2015","16","1",1,0,545
"546",1,24,"23","11","2015","17","1",1,0,546
"547",1,27,"23","11","2015","18","1",1,0,547
"548",1,29,"23","11","2015","19","1",1,0,548
"549",1,26,"23","11","2015","20","1",1,0,549
"550",1,27,"23","11","2015","21","1",1,0,550
"551",1,28,"23","11","2015","22","1",1,0,551
"552",1,26,"23","11","2015","23","1",1,0,552
"553",1,23,"24","11","2015","00","2",1,0,553
"554",1,19,"24","11","2015","01","2",1,0,554
"555",1,18,"24","11","2015","02","2",1,0,555
"556",1,13,"24","11","2015","03","2",1,0,556
